.NET Container, 2125
New Directory, 1402
New File, 1404
New TLS Configuration, 1730
New VI, 8014
New VI Object, 8015
Not, 1064
Not A Number/Path/Refnum?, 1128
Not A Path Constant, 23524
Not a Refnum Constant, 23526
Not a Shared Variable, 23527
Not And, 1071
Not Equal To 0?, 1116
Not Equal?, 1105
Not Exclusive Or, 1073
Not Or, 1072
Notifier Refnum, 3423
Number of Cache Levels, 24133
Number To Boolean Array, 1814
Number To Decimal String, 1180
Number To Engineering String, 1183
Number To Exponential String, 1505
Number To Fractional String, 1506
Number To Hexadecimal String, 1181
Number To Octal String, 1182
Numeric Constant, 2005
Numeric Control (classic), 3000
Numeric Control (modern), 21003
Numeric Control (system), 21919
Numeric Indicator (classic), 3001
Numeric Indicator (modern), 21004
Obtain Notifier, 9101
Obtain Queue, 9108
Occurrence Refnum, 3406
Octal Digit?, 1129
Octal String To Number, 1186
OK Button (modern), 21738
OK Button (system), 3130
Old VISA Open, 1921
OLE Variant, 3150
One Button Dialog, 1340
Open and Verify Variable Connection, 23790
Open Application Reference, 8012
Open Device, 1430
Open Dynamic Bitfile Reference, 5691
Open File, 1403
Open MATLAB Session, 24208
Open Python Session, 24206
Open Tank (flat classic), 21752
Open Tank (shaded classic), 3074
Open Variable Connection, 23779
Open Variable Connection in Background, 23791
Open VI Object Reference, 8013
Open VI Reference, 8010
Open/Create/Replace Datalog, 8054
Open/Create/Replace File, 8050
Or, 1062
Or Array Elements, 1910
Oval with Shadow, 32509
Package Matrix, 23001
PassControl, 1968
Path Constant, 2009
Path to Array of Strings, 1423
Path To String, 1077
Path Type, 1421
Pi, 23504
Pi Divided By 2, 23506
Pi Multiplied By 2, 23505
Pick Line, 1510
Pict Ring (classic), 3015
Pict Ring (modern), 21602
Pict Ring (system), 21925
PixMap, 3505
PixMap (warning: dangerous), 3507
Planck's Constant (J/Hz), 23516
Platform Flat Square Button, 3134
Plug-In Control, 21820
Polar To Complex, 1047
Polar To Re/Im, 23061
Positive Infinity, 23515
Power Of 10, 1212
Power Of 2, 1223
Power Of X, 1213
PPoll, 1969
PPollConfig, 1970
PPollUnconfig, 1971
Preallocated Read from Binary File, 24135
Preserve Run-Time Class, 8018
Pressure Tank (flat), 3075
Pressure Tank (shaded), 21753
Preview Queue Element, 9112
Printable?, 1124
Property Node, 1920
Pulldown Menu Ring, 3061
Push Button, 21001
Python Node, 24205
Python Object Refnum, 3491
Python Object Refnum (block diagram constant), 3492
Python Session Refnum, 3486
Queue Refnum, 3424
Quit LabVIEW, 1352
Quotient & Remainder, 1056
Race Structure, 2371
Radio Button (system), 3133
Radio Buttons (classic), 22003
Radio Buttons (modern), 22001
Radio Buttons (system), 22002
Raised Box (classic), 3600
Raised Box (modern), 3637
Raised Circle, 3603
Raised Down Triangle, 3615
Raised Frame, 3606
Raised Left Triangle, 3612
Raised Right Triangle, 3613
Raised Rounded Box, 3609
Raised Up Triangle, 3614
Random Number (0-1), 1070
RcvRespMsg, 1972
Re-accept TLS, 1739
Re/Im To Complex, 1046
Re/Im To Polar, 23060
Read Datalog, 8069
Read Device, 1432
Read File, 1407
Read from Binary File, 8051
Read from Text File, 8070
Read Map Max & Min Keys, 2459
Read Multiple Elements from Stream, 23803
Read Set Max & Min, 2455
Read Single Element from Stream, 23797
Read Variable, 23781
Read Variable with Timeout, 23786
ReadStatus, 1973
Receive, 1974
ReceiveSetup, 1975
Recessed Box, 3601
Recessed Circle, 3604
Recessed Down Triangle, 3619
Recessed Frame (modern), 3607
Recessed Frame (system), 3624
Recessed Left Triangle, 3616
Recessed Menu Ring, 3019
Recessed Right Triangle, 3617
Recessed Rounded Box, 3610
Recessed Up Triangle, 3618
Reciprocal, 1059
Reciprocal Of e, 23511
Reciprocal Of Pi, 23507
RecomposeUnlockDataValRef (warning: dangerous), 2407
RecomposeVariant (warning: dangerous), 2405
Rectangular Stop Button, 3128
Refnum to Path, 1424
Refnum to Session, 2306
Region, 2196
Register Event Callback, 2078
Register For Events, 2065
Register Session, 2319
Release Notifier, 9102
Release Queue, 9109
Remove Fixed-Point Overflow Status, 5563
Remove From Map, 2457
Remove From Set, 2453
Replace Array Subset, 3910
Replace Substring, 3913
Request Deallocation, 1610
ResetSys, 1976
Reshape Array, 2055
Resize Matrix, 8508
Resource Index, 1088
Reverse 1D Array, 1900
Reverse String, 1537
Right Arrow, 3825
Right Bow Valve (flat), 3705
Right Bow Valve (outline), 3805
Right Bow Valve (shaded), 21765
Right Down Elbow (flat), 3817
Right Down Elbow (shaded), 3717
Right Pump (flat), 3819
Right Pump (shaded), 3719
Right Rect Valve (flat), 3704
Right Rect Valve (outline), 3804
Right Rect Valve (shaded), 21764
Right Tee (flat), 3815
Right Tee (shaded), 3715
Right Up Elbow (flat), 3814
Right Up Elbow (shaded), 3714
Rocker, 21002
Rotary Feeder, 3830
Rotate, 1082
Rotate 1D Array, 1906
Rotate Left With Carry, 1606
Rotate Right With Carry, 1607
Rotate String, 1536
Round Button, 3100
Round LED (classic), 3120
Round LED (modern), 21012
Round Light, 3104
Round Push Button, 3118
Round Push Button (profile), 3112
Round Radio Button, 3106
Round Stop Button, 3127
Round To Nearest, 1055
Round Toward +Infinity, 1076
Round Toward -Infinity, 1075
Rounded Rectangle with Shadow, 32508
RT FIFO Create, 24000
RT FIFO Delete, 24003
RT FIFO Read, 24001
RT FIFO Write, 24002
Rydberg Constant (1/m), 23521
Scale By Power Of 2, 1074
Scan From File, 2082
Scan From String, 2080
Scan String For Tokens, 8101
Scan Value, 1534
Scanned Variable Read, 23784
Scanned Variable Write, 23787
Search 1D Array, 1901
Search and Replace String, 3914
Search Variable Container, 23802
Search/Split String, 1538
Secant, 1203
Seconds To Date/Time, 1309
Seek, 1409
Select, 1516
Send, 1977
Send Notification, 9104
SendCmds, 1978
SendDataBytes, 1979
SendIFC, 1980
SendList, 1981
SendLLO, 1982
SendSetup, 1983
Session to Refnum, 2307
Set, 3487
Set Constant, 2460
Set Control Values by Index, 24203
Set Datalog Position, 8072
Set File Position, 8073
Set File Size, 8074
Set Matrix Diagonal, 8504
Set Matrix Elements, 8505
Set Menu Item Info, 9006
Set Number of Records, 8075
Set Occurrence, 1702
Set Permissions, 8076
Set Submatrix, 8506
Set Type and Creator, 8077
Set Variant Attribute, 8204
Set Waveform Attribute, 8207
SetRWLS, 1984
SetTimeOut, 1985
Shared Variable, 23778
Shared Variable Constant, 3473
Shared Variable Control (classic), 3472
Shared Variable Control (modern), 21814
Shared Variable to String, 1831
Sign, 1049
Simple Horizontal Slide, 3003
Simple Numeric, 2900
Simple String, 2115
Simple Vertical Slide, 3002
Sinc, 1227
Sine, 1200
Sine & Cosine, 1220
Size Handle, 1603
Slide Switch, 21011
Smoothed Oval, 32500
Smoothed Rounded Rectangle, 32505
Sort 1D Array, 1120
Sort Array of String, 23065
Speed Of Light In Vacuum (m/sec), 23518
Spin Control (system), 21900
Split 1D Array, 1908
Split Button, 21020
Split Number, 1170
Split Signals, 2351
Spreadsheet String To Array, 1539
Square, 23059
Square Button, 3101
Square LED (classic), 3121
Square LED (modern), 21013
Square Light, 3105
Square Push Button, 3119
Square Push Button (profile), 3113
Square Radio Button, 3107
Square Root, 1060
Stacked Sequence Structure, 2000
Start TLS, 1731
State, 2198
State Diagram, 2051
Static VI Reference, 2084
Stop, 1350
Stop Button, 21230
String Constant, 2007
String Control (classic), 3200
String Control (modern), 21701
String Control (system), 21920
String Indicator (classic), 3201
String Indicator (modern), 21702
String Length, 1502
String Subset, 1503
String To Byte Array, 1608
String To IP, 1711
String To Path, 1078
String to Shared Variable, 1830
Strip Path, 1420
SubPanel, 21810
SubPanel (Classic), 21811
SubPanel (Fuse Design System), 21824
SubPanel (System), 21823
Subtract, 1051
Subtract (with error terminals), 3916
Swap Bytes, 1162
Swap Values, 2401
Swap Vector Element, 1912
Swap Words, 1163
Tab Constant, 23502
Tab Control (classic), 3330
Tab Control (Fuse Design System), 32700
Tab Control (modern), 3332
Tab Control (system), 3331
Table (classic), 21796
Table (modern), 21790
Table (system), 21797
Tag Attribute Ring, 2063
Tangent, 1202
Tank (classic), 3020
Tank (modern), 21006
Target Structure, 2370
TCP Close Connection, 1713
TCP Create Listener, 1717
TCP Flattened Read, 1718
TCP Flattened Write, 1719
TCP Flex Read, 1720
TCP Flex Write, 1721
TCP Network Connection Refnum, 3407
TCP Open Connection, 1715
TCP Read, 1716
TCP Wait On Listener, 1712
TCP Write, 1714
TDMS Advanced Asynchronous Read (Data Ref), 2151
TDMS Advanced Asynchronous Write (Data Ref), 2150
TDMS Close, 24113
TDMS Configure Asynchronous Reads (Data Ref), 2153
TDMS Configure Asynchronous Writes (Data Ref), 2152
TDMS Defragment, 24119
TDMS Delete Data, 2159
TDMS File, 3477
TDMS Flush, 24117
TDMS Get Asynchronous Read Status (Data Ref), 2155
TDMS Get Asynchronous Write Status (Data Ref), 2154
TDMS Get Properties, 24115
TDMS In Memory Close, 2157
TDMS In Memory Open, 2156
TDMS In Memory Read Bytes, 2158
TDMS List Contents, 24116
TDMS Open, 24112
TDMS Read, 24111
TDMS Refnum To File ID, 24120
TDMS Set Properties, 24114
TDMS Write, 24110
TDMS Write IP, 24118
Temporary Directory, 1435
TestSRQ, 1986
TestSys, 1987
Text & Pict Ring (classic), 3016
Text & Pict Ring (modern), 21603
Text Button, 21015
Text Ring (block diagram constant), 2008
Text Ring (classic), 3014
Text Ring (modern), 21601
Text Ring (system), 3060
Text to UTF-8, 23066
Thermometer (classic), 3021
Thermometer (modern), 21007
Threshold 1D Array, 1909
Tick Count (ms), 1300
Time Stamp (block diagram constant), 2068
Time Stamp Control (classic), 5555
Time Stamp Control (modern), 21913
Time Stamp Control (system), 21967
Time Stamp Indicator (classic), 5556
Time Stamp Indicator (modern), 21914
Timed Loop, 5570
Timed Sequence, 5573
TLS configuration, 3489
TLS Connection?, 1740
To Byte Integer, 1140
To Double Precision Complex, 1152
To Double Precision Float, 1147
To Extended Precision Complex, 1154
To Extended Precision Float, 1149
To Fixed-Point, 5561
To Long Integer, 1142
To Lower Case, 1189
To More Generic Class, 8017
To More Specific Class, 8016
To OLE Variant, 8002
To Probe String, 2413
To Quad Integer, 1155
To Single Precision Complex, 1151
To Single Precision Float, 1146
To Time Stamp, 5560
To Unsigned Byte Integer, 1143
To Unsigned Long Integer, 1145
To Unsigned Quad Integer, 1156
To Unsigned Word Integer, 1144
To Upper Case, 1188
To Variant, 8201
To Word Integer, 1141
Traditional DAQ Channel (block diagram constant), 2085
Traditional DAQ Channel (classic), 3320
Traditional DAQ Channel (modern), 21733
Transpose 1D Array, 23068
Transpose 2D Array, 1902
Transpose Matrix, 8509
Tree (classic), 21819
Tree (modern), 21793
Tree (system), 21794
Trigger, 1988
TriggerList, 1989
Two Button Dialog, 1341
Type and Creator, 1434
Type Cast, 1166
Type Error, 2415
Type Must Be Array, 2417
Type Must Be Cluster, 2418
Type Of, 2414
Type Specialization Structure, 2373
UDP Close, 1726
UDP Multicast Open, 1727
UDP Network Connection Refnum, 3418
UDP Open, 1723
UDP Read, 1724
UDP Write, 1725
Unbitpack from Array, 3136
Unbundle, 2048
Unbundle By Name, 2058
Unflatten From JSON, 24202
Unflatten From String, 1165
Unflatten From XML, 8401
Unleak Variant Value Reference, 2411
Unpackage Matrix, 23000
Unregister For Events, 2076
Unregister Session, 2320
Up Arrow, 3823
Up Bow Valve (flat), 3703
Up Bow Valve (outline), 3803
Up Bow Valve (shaded), 21763
Up Rect Valve (flat), 3702
Up Rect Valve (outline), 21762
Up Rect Valve (shaded), 3802
Up Tee (flat), 3812
Up Tee (shaded), 3712
User Defined Refnum, 3428
User Defined Refnum Tag (block diagram constant), 3426
User Defined Refnum Tag (classic), 3429
User Defined Refnum Tag (modern), 21745
User Defined Refnum Tag Flatten (classic), 3454
User Defined Refnum Tag Flatten (modern), 21747
User Defined Tag (block diagram constant), 2114
User Defined Tag (classic), 3329
User Defined Tag (modern), 21749
User Item, 3506
UTF-8 String To Byte Array, 1650
UTF-8 to Text, 23067
Variable Class Specifier Constant, 2106
Variable Name Constant, 3478
Variant, 3310
Variant To Data, 8003
Variant To Flattened String, 8203
Vert Line, 3822
Vert Pipe (flat), 3816
Vert Pipe (shaded), 3716
Vert Rocker, 21740
Vertical Fill Slide (classic), 3009
Vertical Fill Slide (modern), 21014
Vertical Gradient Oval, 32501
Vertical Gradient Rectangle, 32503
Vertical Gradient Rounded Rectangle, 32506
Vertical Graduated Bar, 21107
Vertical Pointer Slide (classic), 3007
Vertical Pointer Slide (modern), 21017
Vertical Pointer Slide (system), 21901
Vertical Progress Bar (modern), 21104
Vertical Progress Bar (system), 21909
Vertical Scrollbar, 21111
Vertical Slide (system), 21903
Vertical Slide Switch (classic), 3115
Vertical Slide Switch (modern), 21741
Vertical Smooth Box, 3634
Vertical Splitter Bar, 21860
Vertical Splitter Bar (Classic), 21862
Vertical Splitter Bar (Fuse Design System), 21866
Vertical Splitter Bar (System), 21864
Vertical Switch, 3109
Vertical Toggle Switch (classic), 3111
Vertical Toggle Switch (modern), 21005
VI Library, 1425
VI Refnum, 3422
VI Server Reference, 2091
VISA Assert Interrupt Signal, 2309
VISA Assert Trigger, 1929
VISA Assert Utility Signal, 2310
VISA Clear, 1927
VISA Close, 1922
VISA Disable Event, 1940
VISA Discard Events, 1941
VISA Enable Event, 1942
VISA Find Resource, 1923
VISA Flush I/O Buffer, 2302
VISA GPIB Command, 2315
VISA GPIB Control ATN, 2316
VISA GPIB Control REN, 2304
VISA GPIB Pass Control, 2317
VISA GPIB Send IFC, 2318
VISA In 16, 1930
VISA In 32, 1944
VISA In 64, 2140
VISA In 8, 1936
VISA Lock, 1993
VISA Map Address, 1932
VISA Map Trigger, 2311
VISA Memory Allocation, 1997
VISA Memory Allocation Ex, 2146
VISA Memory Free, 1998
VISA Move, 2303
VISA Move In 16, 1948
VISA Move In 32, 1991
VISA Move In 64, 2144
VISA Move In 8, 1946
VISA Move Out 16, 1949
VISA Move Out 32, 1992
VISA Move Out 64, 2145
VISA Move Out 8, 1947
VISA Open, 2308
VISA Out 16, 1931
VISA Out 32, 1945
VISA Out 64, 2141
VISA Out 8, 1937
VISA Peek 16, 1934
VISA Peek 32, 1995
VISA Peek 64, 2142
VISA Peek 8, 1938
VISA Poke 16, 1935
VISA Poke 32, 1996
VISA Poke 64, 2143
VISA Poke 8, 1939
VISA Read, 1925
VISA Read STB, 1928
VISA Read To File, 2313
VISA Refnum to Session, 2300
VISA Resource Name, 3421
VISA resource name (classic), 3409
VISA resource name (modern), 21737
VISA Set I/O Buffer Size, 2301
VISA Status Description, 1924
VISA Unlock, 1994
VISA Unmap Address, 1933
VISA Unmap Trigger, 2312
VISA USB Control In, 2086
VISA USB Control Out, 2087
VISA VXI Cmd or Query, 2305
VISA Wait on Event, 1943
VISA Write, 1926
VISA Write From File, 2314
Volume Info, 1414
Wait (ms), 1302
Wait For Activity, 1722
Wait For Front Panel Activity, 1328
Wait for GPIB RQS, 1952
Wait on Notification, 9105
Wait on Notification from Multiple, 9106
Wait on Notification from Multiple with Notifier History, 9132
Wait on Notification with Notifier History, 9131
Wait on Occurrence, 1701
Wait Until Next ms Multiple, 1327
WaitSRQ, 1990
Waveform Chart, 21010
Waveform Chart (classic), 3501
Waveform Chart (modern), 21717
Waveform Graph (classic), 3504
Waveform Graph (modern), 21703
While Loop #1, 2003
While Loop #2, 2352
White Space?, 1125
Write Datalog, 8079
Write Device, 1431
Write File, 1408
Write Multiple Elements to Stream, 23804
Write Single Element to Stream, 23798
Write to Binary File, 8078
Write to Text File, 8080
Write Variable, 23782
Write Variable with Timeout, 23789
XY Graph (classic), 3500
XY Graph (modern), 21716
Y-th Root of X, 23062
